	prediction	d.CS1	d.CS2	p.value	FDR
TCGA-L5-A8NU-01	CS2	0.9381	0.3463	0.007	0.0623
TCGA-JY-A6FD-01	CS2	0.816	0.578	0.3137	0.4999
TCGA-JY-A6FB-01	CS2	0.7348	0.6782	0.6653	0.81
TCGA-JY-A6F8-01	CS1	0.5662	0.8242	0.009	0.0675
TCGA-L5-A4OS-01	CS1	0.5547	0.8321	0.1758	0.3446
TCGA-2H-A9GJ-01	CS1	0.4893	0.8721	0.0679	0.1799
TCGA-R6-A6Y0-01	CS2	0.7489	0.6627	0.7203	0.8505
TCGA-L5-A8NV-01	CS2	0.7189	0.6951	0.9111	0.9448
TCGA-VR-A8Q7-01	CS1	0.4654	0.8851	0.041	0.1384
TCGA-L5-A4OM-01	CS1	0.5815	0.8136	0.3417	0.5315
TCGA-L5-A4OM-11	CS1	0.5732	0.8194	0.2897	0.4788
TCGA-JY-A6FH-01	CS1	0.285	0.9585	0.005	0.0544
TCGA-VR-AA4D-01	CS1	0.5289	0.8487	0.041	0.1384
TCGA-L5-A8NW-01	CS2	0.9134	0.4071	0.015	0.0794
TCGA-JY-A6FA-01	CS2	0.7857	0.6185	0.3906	0.5713
TCGA-JY-A6FG-01	CS2	0.8972	0.4416	0.03	0.128
TCGA-R6-A6XG-01	CS1	0.4994	0.8664	0.038	0.1329
TCGA-L5-A8NG-01	CS1	0.452	0.892	0.032	0.128
TCGA-IG-A4QS-01	CS1	0.5217	0.8531	0.1299	0.285
TCGA-IG-A3QL-01	CS2	0.8182	0.5749	0.2308	0.415
TCGA-JY-A938-01	CS2	0.7233	0.6906	0.8152	0.8827
TCGA-IC-A6RE-11	CS1	0.6083	0.7937	0.3746	0.5605
TCGA-IG-A3YB-01	CS1	0.5419	0.8405	0.1808	0.3475
TCGA-VR-A8EY-01	CS2	0.9403	0.3403	0.001	0.049
TCGA-L5-A4OI-01	CS1	0.5812	0.8138	0.1618	0.3339
TCGA-IC-A6RE-01	CS1	0.5299	0.8481	0.1788	0.347
TCGA-IG-A3I8-11	CS1	0.5289	0.8487	0.0989	0.2388
TCGA-IG-A3I8-01	CS2	0.9032	0.4292	0.042	0.1394
TCGA-L5-A4OH-01	CS1	0.605	0.7962	0.045	0.1438
TCGA-2H-A9GR-01	CS1	0.5685	0.8227	0.2577	0.4471
TCGA-L5-A43M-01	CS1	0.4964	0.8681	0.1089	0.2482
TCGA-2H-A9GI-01	CS1	0.4047	0.9144	0.01	0.0675
TCGA-JY-A93D-01	CS2	0.8758	0.4826	0.0829	0.2084
TCGA-L5-A43I-01	CS1	0.5734	0.8192	0.2308	0.415
TCGA-2H-A9GH-01	CS1	0.6076	0.7943	0.4346	0.611
TCGA-L5-A43E-01	CS1	0.5056	0.8628	0.0569	0.1594
TCGA-L5-A4OU-01	CS2	0.8402	0.5423	0.1618	0.3339
TCGA-L5-A4OX-01	CS1	0.5434	0.8394	0.1029	0.2401
