probe	class	dirct
CPLX2	CS1	up
JPH3	CS1	up
ST8SIA3	CS1	up
CA10	CS1	up
SCRT1	CS1	up
DLL3	CS1	up
GABRB3	CS1	up
ARPP21	CS1	up
KCNIP2	CS1	up
SYN2	CS1	up
SEZ6L	CS1	up
GABRD	CS1	up
UNC13A	CS1	up
ELAVL2	CS1	up
NRXN1	CS1	up
DLGAP1	CS1	up
GRIA2	CS1	up
MYT1L	CS1	up
KIF5A	CS1	up
PRKCG	CS1	up
GABRA1	CS1	up
PPP1R1A	CS1	up
CNTN1	CS1	up
SYT13	CS1	up
IQSEC3	CS1	up
KIF1A	CS1	up
MAP2	CS1	up
BRSK2	CS1	up
NEFM	CS1	up
GRIA4	CS1	up
SLC1A2	CS1	up
KCNJ9	CS1	up
WNT7B	CS1	up
REPS2	CS1	up
TEF	CS1	up
FAM155A	CS1	up
RBFOX1	CS1	up
FERMT1	CS1	up
SCN2B	CS1	up
CACNG2	CS1	up
STMN4	CS1	up
PNMA3	CS1	up
WSCD2	CS1	up
CACNA1B	CS1	up
KCNA2	CS1	up
PCDH7	CS1	up
RAB11FIP4	CS1	up
SHANK2	CS1	up
ELAVL3	CS1	up
GNAO1	CS1	up
ANXA1	CS2	up
COL3A1	CS2	up
PDPN	CS2	up
COL1A2	CS2	up
SOCS3	CS2	up
ABCC3	CS2	up
CD44	CS2	up
MSN	CS2	up
TNC	CS2	up
CP	CS2	up
S100A10	CS2	up
EMP1	CS2	up
MS4A6A	CS2	up
EFEMP1	CS2	up
MGP	CS2	up
NAMPT	CS2	up
GBP1	CS2	up
GBP2	CS2	up
GDF15	CS2	up
HLA-DPB1	CS2	up
TMEM176B	CS2	up
ACTN1	CS2	up
IGHG1	CS2	up
FSTL1	CS2	up
SLC11A1	CS2	up
LUM	CS2	up
C1RL	CS2	up
S100A6	CS2	up
ITGB2	CS2	up
COL8A1	CS2	up
CTSC	CS2	up
LOXL2	CS2	up
TGIF1	CS2	up
PRSS23	CS2	up
ACTA2	CS2	up
MS4A4A	CS2	up
SERPINA1	CS2	up
PLSCR1	CS2	up
IBSP	CS2	up
B2M	CS2	up
C21orf62	CS2	up
OSMR	CS2	up
TAGLN	CS2	up
GNG12	CS2	up
EMILIN2	CS2	up
TGFB2	CS2	up
YBX3	CS2	up
FAM114A1	CS2	up
MOXD1	CS2	up
FOSL2	CS2	up
