	prediction	d.CS1	d.CS2	p.value	FDR
TCGA-HT-7472-01A	CS2	0.7341	0.679	0.4416	0.4771
TCGA-HT-A5R9-01A	CS1	0.5654	0.8248	0.002	0.0027
TCGA-HT-8015-01B	CS1	0.5589	0.8292	0.001	0.0014
TCGA-HT-7467-01A	CS1	0.3092	0.951	0.001	0.0014
TCGA-HT-A74O-01A	CS2	0.9218	0.3878	0.001	0.0014
TCGA-HT-7691-01A	CS2	0.936	0.3519	0.001	0.0014
TCGA-HT-A5RB-01A	CS1	0.2878	0.9577	0.001	0.0014
TCGA-HT-7687-01A	CS1	0.3729	0.9279	0.001	0.0014
TCGA-HT-7690-01A	CS2	0.8398	0.5429	0.001	0.0014
TCGA-VM-A8CB-01A	CS1	0.4192	0.9079	0.001	0.0014
TCGA-HT-7471-01A	CS1	0.6683	0.7439	0.2498	0.2784
TCGA-HT-A5R5-01A	CS2	0.8127	0.5826	0.001	0.0014
TCGA-HT-7877-01A	CS1	0.3076	0.9515	0.001	0.0014
TCGA-HT-7676-01A	CS2	0.7165	0.6976	0.7782	0.8059
TCGA-F6-A8O4-01A	CS1	0.3389	0.9408	0.001	0.0014
TCGA-HT-A4DS-01A	CS2	0.8961	0.4438	0.001	0.0014
TCGA-P5-A5EV-01A	CS1	0.521	0.8536	0.001	0.0014
TCGA-HT-8111-01A	CS2	0.7994	0.6008	0.007	0.0093
TCGA-HT-7857-01A	CS2	0.9684	0.2495	0.001	0.0014
TCGA-P5-A72U-01A	CS2	0.9497	0.3133	0.001	0.0014
TCGA-HT-7616-01A	CS2	0.8686	0.4955	0.001	0.0014
TCGA-F6-A8O3-01A	CS1	0.2942	0.9557	0.001	0.0014
TCGA-CS-5394-01A	CS1	0.3966	0.918	0.001	0.0014
TCGA-HT-7875-01A	CS1	0.3025	0.9532	0.001	0.0014
TCGA-HT-8107-01A	CS1	0.4149	0.9099	0.001	0.0014
TCGA-HT-7860-01A	CS2	0.9319	0.3628	0.001	0.0014
TCGA-DU-A7TJ-01A	CS2	0.9612	0.2757	0.001	0.0014
TCGA-HT-7680-01A	CS2	0.9203	0.3912	0.001	0.0014
TCGA-E1-A7YU-01A	CS1	0.598	0.8015	0.005	0.0067
TCGA-DU-6400-01A	CS1	0.3008	0.9537	0.001	0.0014
TCGA-P5-A5F6-01A	CS2	0.8528	0.5223	0.001	0.0014
TCGA-HT-8010-01A	CS1	0.3996	0.9167	0.001	0.0014
TCGA-HT-A616-01A	CS1	0.3146	0.9492	0.001	0.0014
TCGA-QH-A6X9-01A	CS1	0.2838	0.9589	0.001	0.0014
TCGA-S9-A7J2-01A	CS1	0.3977	0.9175	0.001	0.0014
TCGA-TQ-A7RI-01A	CS1	0.4224	0.9064	0.001	0.0014
TCGA-RY-A843-01A	CS1	0.3694	0.9293	0.001	0.0014
TCGA-P5-A5EZ-01A	CS2	0.812	0.5837	0.001	0.0014
TCGA-P5-A780-01A	CS2	0.845	0.5348	0.001	0.0014
TCGA-P5-A5EY-01A	CS1	0.604	0.797	0.011	0.0144
TCGA-DU-6542-01A	CS2	0.7096	0.7046	0.9421	0.9567
TCGA-HT-A74H-01A	CS2	0.8834	0.4685	0.001	0.0014
TCGA-HT-8108-01A	CS1	0.5449	0.8385	0.001	0.0014
TCGA-QH-A65S-01A	CS2	0.7614	0.6482	0.0709	0.0849
TCGA-HT-A614-01A	CS1	0.5832	0.8124	0.002	0.0027
TCGA-DU-7309-01A	CS1	0.3727	0.9279	0.001	0.0014
TCGA-HT-7692-01A	CS1	0.5083	0.8612	0.001	0.0014
TCGA-HT-7607-01A	CS1	0.4517	0.8922	0.001	0.0014
TCGA-P5-A77X-01A	CS1	0.2513	0.9679	0.001	0.0014
TCGA-E1-A7YI-01A	CS2	0.8832	0.469	0.001	0.0014
