	cluster	Project
CGGA_1002	A	CGGA
CGGA_1003	A	CGGA
CGGA_1010	A	CGGA
CGGA_1014	A	CGGA
CGGA_1017	A	CGGA
CGGA_1018	A	CGGA
CGGA_103	A	CGGA
CGGA_1030	A	CGGA
CGGA_1033	A	CGGA
CGGA_1037	A	CGGA
CGGA_1041	A	CGGA
CGGA_1048	A	CGGA
CGGA_1051	A	CGGA
CGGA_1055	A	CGGA
CGGA_1063	A	CGGA
CGGA_1065	A	CGGA
CGGA_1082	A	CGGA
CGGA_1087	A	CGGA
CGGA_1100	A	CGGA
CGGA_1101	A	CGGA
CGGA_1103	A	CGGA
CGGA_112	A	CGGA
CGGA_1120	A	CGGA
CGGA_1121	A	CGGA
CGGA_1126	A	CGGA
CGGA_1127	A	CGGA
CGGA_1131	A	CGGA
CGGA_1132	A	CGGA
CGGA_1141	A	CGGA
CGGA_1144	A	CGGA
CGGA_1147	A	CGGA
CGGA_1154	A	CGGA
CGGA_1155	A	CGGA
CGGA_1156	A	CGGA
CGGA_1157	A	CGGA
CGGA_1158	A	CGGA
CGGA_1159	A	CGGA
CGGA_1161	A	CGGA
CGGA_1162	A	CGGA
CGGA_1164	A	CGGA
CGGA_1169	A	CGGA
CGGA_1172	A	CGGA
CGGA_1178	A	CGGA
CGGA_1181	A	CGGA
CGGA_1184	A	CGGA
CGGA_1191	A	CGGA
CGGA_1198	A	CGGA
CGGA_1204	A	CGGA
CGGA_1207	A	CGGA
CGGA_1211	A	CGGA
CGGA_1212	A	CGGA
CGGA_1228	A	CGGA
CGGA_1236	A	CGGA
CGGA_1239	A	CGGA
CGGA_1248	A	CGGA
CGGA_1257	A	CGGA
CGGA_1264	A	CGGA
CGGA_1269	A	CGGA
CGGA_1273	A	CGGA
CGGA_1286	A	CGGA
CGGA_1291	A	CGGA
CGGA_1303	A	CGGA
CGGA_1305	A	CGGA
CGGA_1309	A	CGGA
CGGA_1311	A	CGGA
CGGA_1317	A	CGGA
CGGA_1319	A	CGGA
CGGA_1321	A	CGGA
CGGA_1335	A	CGGA
CGGA_1337	A	CGGA
CGGA_1339	A	CGGA
CGGA_1350	A	CGGA
CGGA_1356	A	CGGA
CGGA_1361	A	CGGA
CGGA_1362	A	CGGA
CGGA_1368	A	CGGA
CGGA_1369	A	CGGA
CGGA_1377	A	CGGA
CGGA_1383	A	CGGA
CGGA_1386	A	CGGA
CGGA_1389	A	CGGA
CGGA_139	A	CGGA
CGGA_1390	A	CGGA
CGGA_1398	A	CGGA
CGGA_1400	A	CGGA
CGGA_1401	A	CGGA
CGGA_1404	A	CGGA
CGGA_1407	A	CGGA
CGGA_1413	A	CGGA
CGGA_1416	A	CGGA
CGGA_1417	A	CGGA
CGGA_1420	A	CGGA
CGGA_1421	A	CGGA
CGGA_1424	A	CGGA
CGGA_1429	A	CGGA
CGGA_1430	A	CGGA
CGGA_1431	A	CGGA
CGGA_1437	A	CGGA
CGGA_1440	A	CGGA
CGGA_1446	A	CGGA
CGGA_1447	A	CGGA
CGGA_1454	A	CGGA
CGGA_1455	A	CGGA
CGGA_1458	A	CGGA
CGGA_1463	A	CGGA
CGGA_1467	A	CGGA
CGGA_1469	A	CGGA
CGGA_1472	A	CGGA
CGGA_1473	A	CGGA
CGGA_1474	A	CGGA
CGGA_1482	A	CGGA
CGGA_1488	A	CGGA
CGGA_1496	A	CGGA
CGGA_1497	A	CGGA
CGGA_1500	A	CGGA
CGGA_1510	A	CGGA
CGGA_1513	A	CGGA
CGGA_1516	A	CGGA
CGGA_1517	A	CGGA
CGGA_1518	A	CGGA
CGGA_1520	A	CGGA
CGGA_1524	A	CGGA
CGGA_1525	A	CGGA
CGGA_1526	A	CGGA
CGGA_1527	A	CGGA
CGGA_1528	A	CGGA
CGGA_1529	A	CGGA
CGGA_1530	A	CGGA
CGGA_1531	A	CGGA
CGGA_1534	A	CGGA
CGGA_1536	A	CGGA
CGGA_1539	A	CGGA
CGGA_1541	A	CGGA
CGGA_1544	A	CGGA
CGGA_1552	A	CGGA
CGGA_1553	A	CGGA
CGGA_1554	A	CGGA
CGGA_1557	A	CGGA
CGGA_1562	A	CGGA
CGGA_1566	A	CGGA
CGGA_1567	A	CGGA
CGGA_1568	A	CGGA
CGGA_1569	A	CGGA
CGGA_157	A	CGGA
CGGA_1571	A	CGGA
CGGA_1579	A	CGGA
CGGA_1583	A	CGGA
CGGA_1589	A	CGGA
CGGA_1591	A	CGGA
CGGA_1592	A	CGGA
CGGA_1594	A	CGGA
CGGA_1595	A	CGGA
CGGA_1605	A	CGGA
CGGA_1608	A	CGGA
CGGA_1611	A	CGGA
CGGA_1614	A	CGGA
CGGA_1615	A	CGGA
CGGA_1617	A	CGGA
CGGA_1618	A	CGGA
CGGA_1620	A	CGGA
CGGA_1621	A	CGGA
CGGA_1627	A	CGGA
CGGA_1630	A	CGGA
CGGA_1635	A	CGGA
CGGA_1640	A	CGGA
CGGA_1641	A	CGGA
CGGA_1642	A	CGGA
CGGA_1645	A	CGGA
CGGA_1647	A	CGGA
CGGA_1648	A	CGGA
CGGA_1649	A	CGGA
CGGA_165	A	CGGA
CGGA_1650	A	CGGA
CGGA_1651	A	CGGA
CGGA_1653	A	CGGA
CGGA_1655	A	CGGA
CGGA_1657	A	CGGA
CGGA_1660	A	CGGA
CGGA_1661	A	CGGA
CGGA_1662	A	CGGA
CGGA_1664	A	CGGA
CGGA_1667	A	CGGA
CGGA_1671	A	CGGA
CGGA_1672	A	CGGA
CGGA_1673	A	CGGA
CGGA_1679	A	CGGA
CGGA_1685	A	CGGA
CGGA_1686	A	CGGA
CGGA_1689	A	CGGA
CGGA_1693	A	CGGA
CGGA_1695	A	CGGA
CGGA_1697	A	CGGA
CGGA_1699	A	CGGA
